Photographer
Author
Publisher (Photographic)
Filed under
Artist
Publisher
Compiler
Subject
Editor
Unknown role
Illustrator
Distributor
Copyright claimant
Attributed to
Sponsor
Printer
Manufacturer
Press
Source
Donor
Executor
Dealer
Auction House
Vendor
Curator
Printmaker
Portfolio Source
Typesetter
After
Unknown Role
Printer's Assistant
Previous owner
Former owning division
Former Owner
Translator
Designer
Subject (Not Depicted)
Block Cutter
Dedicatee
Binder
Draftsperson
In Memory of
In honor of
Unknown Role / Other
Presented by
Collector
Architect
In memory of
Papermaker
Calligrapher
Die-cutter
Bequest of
