"Title_Type"
Descriptive Title
Published Portfolio
Title
Series
Portfolio or Set
Collection
Book or Album Title
Folder or Subseries
Alternate Title
Periodical or Serial Publication
Caption
Subtitle or Title Translation
(not entered)
Title (Continued)
Additional Authors
Location Depicted
