"Site"
Photography Storage
Picture Collection box
Print Department
September 11
Spencer Collection
Stack 7
Underhill ++ (Room 308)
withdrawn
[313/Delta F-09]
[313]
Registrar's Office
[316/Case 01]
[316/Case 26
[316/Case 48]
[316/Case 49]
[316/Case 73
[316]
[new acqs tan bx 31]
[Not received]
[photo case 6]
[Ret to SC 7]
"[St 7/ SC Burden G-15, G-35]"
"11 x 14 boxes"
"14 x 18 boxes"
"16 x 20 boxes"
"20 x 24 boxes"
Room 308
Room 313
<blank>
"316"
"52"
"8 x 10 boxes"
"9 x 12 boxes"
Abbott boxes 1-22
Accession folder
Art Division
Bobby's office
BPSE vault
Cabinet Card Collection
CDV
CDV Collection
Cratsley
Curator's office
Curator's office (Photo League)
David's cubicle
Deaccessioned
zz [do not use]
Letterbox (West Wall)
Missing
On Exhibit
Loan
Photo League exhibition preparation
[w/Currier & Ives]
[w/Eno]
MEKO
MEKR
MEKS
MEKV
MEKY
MEOI
MEOL
MEOO
MEOP
MEOPB
MEOPD
MEOPE
MEOPF
MEOPZ
MEOR
MEOS
MEOT
MEOV
MEOVZ
MEPC
MEPL
MEPP
MEPPZ
MERC
MERH
MERQ
MERS
MESC
MESE
MESG
MESGZ
MESI
MESL
MESN
MESO
MESP
MESR
MEST
MET
MEVC
MEVG
MEVK
MEVM
MEVO
MEVQ
MEVR
MEVS
MEVT
MEVU
MEVUZ
MEVV
MEWC
MEWG
MEWK
MEWO
MEX
MEXF
MEXG
MEXH
MEXS
MEXT
MEY0
MEYB
MEYE
MEYG
MEYI
MEYK
MEYM
MEYM +
MEYMZ
MEYN
MEYNZ
MEYO
MEYOZ
MEYP
MEYPZ
MEYQ
MEXXX
MEYR
MEYS
MEYZ
MEZGA
MEZGAZ
MEZGK
MEZGV
MEZM
MEZO
MEZYRL
MEZZ
Digital Imaging Unit
MEKN
MEKP
MEKT
MEKW
MEKX
MEKYR
MEKYS
MERK
MESS
MEOC
MEOE
MEOG
MEON
MEVN
MEWM
MEXE
MEWL
MEXM
MEXN
MEYC
MEZAC
MEZAD
MEZAEB
MEZAEC
MEZAED
MEZAF
MEZAG
MEZAGA
MEZAGB
MEZAGC
MEZAGF
MEZAGN
MEZAI
MEZAK
MEZAL
MEZAM
MEZAN
MEZAP
MEZAR
MEZAS
MEZAT
MEZAW
MEZAY
MEZAZ
MEZD
MEZDB
MEZDC
MEZDCA
MEZDD
MEZDE
MEZDF
MEZDG
MEZDH
MEZDI
MEZDK
MEZDL
MEZDM
MEZDN
MEZDP
MEZDR
MEZDS
MEZDT
MEZDV
MEZDW
MEZDWX
MEZDY
MEZDZ
MEZF
MEZH
MEZHM
MEZHR
MEZHRM
MEZL
MEZN
MEZP
MEZYG
MEZYP
MEZYR
MEZYRA
MEZYRF
MEZYRH
MEZYRHM
MEZYRI
MEZYRK
MEZYRKZ
MEZYRS
MEZZB
MEZZC
MEZZI
Conservation
Stack 1
MEKYZ
Photography Portfolios by Photographer
Spalding Collection
South Wall
MERHZ+
Room 304
Slides binder
"22 x 28 boxes"
MEA
MEZGS
Other Library Division (see notes)
Loan (Request)
Exhibition Preparation
Meredith's cubicle
Small Format Photos
VIRTUAL OBJECT - NO LOCATION
Bk. Pls. Engrs.
Library Services Center (Queens)

MEM
MEMZ
MEZZR
MEZZS
MEZZT
MEZZV
MEZZW
MEZZX
MEZZY
MEZZZ
MEZR
MEYSZ
MEYQZ
MEOLZ
Picture Collection
Conservation Lab
Milstein I
Vault
MESRZ
MEOIZ
ICA Boston Loan
Rare Books (Room 328)
Rare Book Division
Manuscripts and Archives Division
Registrar
Taft Museum of Art
Bowdoin College Museum of Art
Princeton University
"10 x 12 boxes"
Geography: Europe
Geography: Africa
Geography: North & Central America
Geography: Asia
Geography: Oceania
FSA
Geography: South America
Geography (313 Case 03)
Row 01
Row 02
Row 03
Row 04
Row 05
Row 06
Row 07
Row 08
Row 09
Row 00
Row 10
Row 11
Row 12
Row 13
Row 14
Third Floor
Room 113
Lionel Pincus and Princess Firyal Map Division
"26 x 32 box"
Room 316
Room 318
Second Floor
Room 111
Room 315
Room 78
Room 206
First Floor
Room 324
Room 321
Room 328
Room 116
Room 115
Room 216
Room 217
Room 219
Room 225
Room 228
Room 300
Room 322
Room 114
Room 80
Room 75
Room 112
Room 73
Room 118
Room 84
Room 323
MERSZ
Room 229
Room 226
Room 213
Flat Files
Room 117
Room 302
Room 105
Room 121
Photo Curator's Office
Print Curator's Office
Art Director's Office
Staff Cubicle (David Lowe)
Staff Cubicle (Elizabeth Cronin)
Staff Cubicle (Zulay Chang)
Staff Cubicle (Alvaro Lazo)
Staff Cubicle (Margaret Glover)
Staff Cubicle (Theodore Walther)
Row 000
Balcony
Milstein Storage I
New Acquisitions Cabinet
