Room 119,Photography Collection
Room 119,Picture Collection
Room 302,Ephemera
Room 302,Photography Collection
Room 303,Ephemera
Room 303,Photography Collection
Room 303,Print Collection
Room 304,Photography Collection
Room 307,Photography Collection
Room 308,Photography Collection
Room 308,Print Collection
Room 313,DL
Room 313,Other NYPL
Room 313,Photography Collection
Room 313,Print Collection
Room 322,Print Collection
Room 322,Spencer Collection
