"Description"
Classmark or Catalog Number
Acquisition number
Former Classmark or Number
Photo order number
Other
Changing New York Number
Changing New York Block Code
FSA number
TL number
Negative number
Digital Collections Image ID
Document Number (Collections Strategy)
Sequence or plate number
Digital Media File Name
Acquisition Number
Catalog permalink
LCCN
photo order number
UUID (Image)
UUID (Record)

Picture Collection Number
PIcture Collection Number
CNY Inventory Number
Changing New York Key Set
Copyright Number
Negative Number
Digital Collections link (Collection level)
Digital Collections link (Item level)
Library of Congress Surrogate
Digital Collections link (Folder level)
MMS URL
Catalog Permalink
Previous Number
Coordinates (Geohack)
LC  negative number
LC negative number
Digital surrogate
GCL Laboratory Number
Finding Aid
SPEC ID
Picture Collection Subject Code
